iter	Passed	Remaining
707	5540	2284
708	5549	2277
709	5558	2270
710	5567	2263
711	5575	2255
712	5585	2248
713	5597	2242
714	5604	2234
715	5610	2225
716	5616	2216
717	5622	2208
718	5628	2199
719	5634	2191
720	5640	2182
721	5646	2174
722	5651	2165
723	5657	2156
724	5663	2148
725	5669	2139
726	5675	2131
727	5681	2122
728	5689	2114
729	5696	2106
730	5703	2098
731	5709	2090
732	5715	2081
733	5721	2073
734	5727	2064
735	5733	2056
736	5739	2048
737	5747	2040
738	5754	2032
739	5763	2024
740	5771	2017
741	5780	2009
742	5787	2001
743	5793	1993
744	5805	1987
745	5813	1979
746	5823	1972
747	5832	1964
748	5839	1957
749	5846	1948
750	5853	1940
751	5862	1933
752	5870	1925
753	5877	1917
754	5886	1910
755	5893	1902
756	5902	1894
757	5910	1887
758	5918	1879
759	5926	1871
760	5933	1863
761	5940	1855
762	5948	1847
763	5955	1839
764	5962	1831
765	5968	1823
766	5973	1814
767	5980	1806
768	5986	1798
769	5992	1790
770	5998	1781
771	6005	1773
772	6011	1765
773	6017	1757
774	6024	1748
775	6029	1740
776	6036	1732
777	6041	1724
778	6048	1715
779	6054	1707
780	6060	1699
781	6066	1691
782	6073	1683
783	6079	1674
784	6086	1666
785	6092	1658
786	6098	1650
787	6105	1642
788	6111	1634
789	6118	1626
790	6124	1618
791	6131	1610
792	6137	1602
793	6145	1594
794	6151	1586
795	6157	1578
796	6163	1569
797	6169	1561
798	6175	1553
799	6181	1545
800	6190	1537
801	6196	1529
802	6202	1521
803	6208	1513
804	6214	1505
805	6221	1497
806	6227	1489
807	6234	1481
808	6239	1473
809	6246	1465
810	6252	1457
811	6257	1448
812	6264	1440
813	6270	1432
814	6276	1424
815	6283	1416
816	6289	1408
817	6296	1400
818	6302	1392
819	6308	1384
820	6314	1376
821	6320	1368
822	6326	1360
823	6332	1352
824	6339	1344
825	6346	1336
826	6352	1328
827	6357	1320
828	6363	1312
829	6370	1304
830	6376	1296
831	6382	1288
832	6388	1280
833	6394	1272
834	6400	1264
835	6406	1256
836	6412	1248
837	6418	1240
838	6424	1232
839	6432	1225
840	6437	1217
841	6445	1209
842	6451	1201
843	6459	1193
844	6465	1186
845	6472	1178
846	6478	1170
847	6484	1162
848	6490	1154
849	6495	1146
850	6502	1138
851	6509	1130
852	6515	1122
853	6520	1114
854	6526	1106
855	6532	1098
856	6538	1091
857	6543	1083
858	6550	1075
859	6557	1067
860	6563	1059
861	6569	1051
862	6575	1043
863	6581	1035
864	6587	1028
865	6593	1020
866	6602	1012
867	6610	1005
868	6618	997
869	6625	989
870	6632	982
871	6638	974
872	6644	966
873	6651	958
874	6657	951
875	6663	943
876	6670	935
877	6676	927
878	6682	919
879	6688	912
880	6696	904
881	6702	896
882	6708	888
883	6714	881
884	6720	873
885	6726	865
886	6732	857
887	6738	849
888	6745	842
889	6751	834
890	6757	826
891	6763	818
892	6769	811
893	6776	803
894	6783	795
895	6789	788
896	6795	780
897	6801	772
898	6808	764
899	6814	757
900	6821	749
901	6827	741
902	6834	734
903	6841	726
904	6847	718
905	6854	711
906	6861	703
907	6867	695
908	6875	688
909	6880	680
910	6888	672
911	6894	665
912	6903	657
913	6911	650
914	6917	642
915	6925	635
916	6932	627
917	6941	620
918	6949	612
919	6957	605
920	6966	597
921	6974	590
922	6982	582
923	6991	575
924	7000	567
925	7008	560
926	7019	552
927	7026	545
928	7035	537
929	7042	530
930	7051	522
931	7059	515
932	7067	507
933	7080	500
934	7088	492
935	7097	485
936	7105	477
937	7114	470
938	7121	462
939	7131	455
940	7139	447
941	7148	440
942	7156	432
943	7163	424
944	7171	417
945	7178	409
946	7185	402
947	7192	394
948	7198	386
949	7204	379
950	7211	371
951	7217	363
952	7224	356
953	7230	348
954	7238	341
955	7244	333
956	7250	325
957	7257	318
958	7263	310
959	7269	302
960	7276	295
961	7282	287
962	7289	280
963	7296	272
964	7302	264
965	7307	257
966	7314	249
967	7321	242
968	7326	234
969	7332	226
970	7338	219
971	7344	211
972	7350	203
973	7356	196
974	7363	188
975	7370	181
976	7377	173
977	7383	166
978	7390	158
979	7397	150
980	7402	143
981	7409	135
982	7415	128
983	7422	120
984	7430	113
985	7437	105
986	7447	98
987	7457	90
988	7463	83
989	7469	75
990	7476	67
991	7483	60
992	7492	52
993	7500	45
994	7508	37
995	7513	30
996	7519	22
997	7525	15
998	7531	7
999	7538	0
